date,home_team,away_team,tournament,city,country,neutral,year,month,day,result,home_points,away_points,home_capital,away_capital,home_comb,away_comb,stadium_comb,home_lat,home_lon,away_lat,away_lon,stadium_lat,stadium_lon,home_stadium_distance_km,away_stadium_distance_km,home_fix_1,home_fix_2,home_shots_1,home_shots_2,home_shots_against_1,home_shots_against_2,home_scored_1,home_scored_2,home_conceded_1,home_conceded_2,home_relative_shots_1,home_relative_shots_2,home_relative_goals_1,home_relative_goals_2,away_fix_1,away_fix_2,away_shots_1,away_shots_2,away_shots_against_1,away_shots_against_2,away_scored_1,away_scored_2,away_conceded_1,away_conceded_2,away_relative_shots_1,away_relative_shots_2,away_relative_goals_1,away_relative_goals_2,home_ranking,away_ranking,home_temperature_max,home_temperature_min,home_precipitation,home_wind_speed,away_temperature_max,away_temperature_min,away_precipitation,away_wind_speed,stadium_temperature_max,stadium_temperature_min,stadium_precipitation,stadium_wind_speed,home_stadium_temp_max,home_stadium_temp_min,home_stadium_temp_avg,away_stadium_temp_max,away_stadium_temp_min,away_stadium_temp_avg
1994-06-18,Italy,Republic of Ireland,FWC,East Rutherford,United States,True,1994,6,18,2,57.0,53.0,Rome,Dublin,"Rome, Italy","Dublin, Republic of Ireland","East Rutherford, United States",41.8933203,12.4829321,53.3493795,-6.2605593,40.833989,-74.0970865,6888.707848815244,5112.149482805676,7.236,7.255,20,14,9,14,2,4,1,5,0.6897,0.5,0.6667,0.4444,6.873,7.482,8,15,13,21,0,5,1,4,0.381,0.4167,0.0,0.5556,15,55,25.5,14.5,0.0,9.5,19.4,12.0,0.3,25.7,32.2,21.3,0.4,11.2,6.700000000000003,6.800000000000001,6.750000000000002,12.800000000000004,9.3,11.050000000000002
1994-06-19,Belgium,Morocco,FWC,Orlando,United States,True,1994,6,19,1,44.0,44.0,Brussels,Rabat,"Brussels, Belgium","Rabat, Morocco","Orlando, United States",50.8467372,4.352493,34.0218454,-6.8408929,28.5421218,-81.379045,7303.49833222911,6951.874587075628,7.164,6.818,16,11,7,6,0,1,1,2,0.6957,0.6471,0.0,0.3333,6.955,7.336,9,12,18,26,0,3,1,1,0.3333,0.3158,0.0,0.75,8,6,22.9,11.3,0.0,19.8,25.7,15.9,0.0,17.5,30.1,21.9,6.1,11.0,7.200000000000003,10.599999999999998,8.9,4.400000000000002,5.999999999999998,5.2
1994-06-21,Argentina,Greece,FWC,Foxborough,United States,True,1994,6,21,1,55.0,41.0,Buenos Aires,Athens,"Buenos Aires, Argentina","Athens, Greece","Foxborough, United States",-34.6095579,-58.3887904,37.9755648,23.7348324,42.0653768,-71.2478308,8626.010463267072,7651.557708213434,6.536,7.255,1,14,23,14,0,5,1,4,0.0417,0.5,0.0,0.5556,7.127,6.564,13,11,13,11,0,1,0,3,0.5,0.5,0.5,0.25,2,46,14.0,8.4,3.1,25.3,35.8,21.7,0.0,22.2,24.9,16.8,1.0,17.9,10.899999999999999,8.4,9.649999999999999,10.899999999999999,4.899999999999999,7.899999999999999
1994-06-21,Germany,Spain,FWC,Chicago,United States,True,1994,6,21,0,60.0,56.0,Berlin,Madrid,"Berlin, Germany","Madrid, Spain","Chicago, United States",52.5173885,13.3951309,40.416782,-3.703507,41.8755616,-87.6244212,7082.9773460503775,6724.436927595643,7.473,6.845,13,15,6,8,1,0,0,2,0.6842,0.6522,1.0,0.0,7.018,7.055,11,24,15,12,2,1,2,2,0.4231,0.6667,0.5,0.3333,12,1,21.7,9.5,0.1,13.2,30.4,16.6,0.0,13.7,26.7,22.3,1.7,21.9,5.0,12.8,8.9,3.6999999999999993,5.699999999999999,4.699999999999999
1994-06-22,Romania,Switzerland,FWC,Pontiac,United States,True,1994,6,22,2,55.0,54.0,Bucharest,Bern,"Bucharest, Romania","Bern, Switzerland","Pontiac, United States",44.4361414,26.102684,46.9484742,7.4521749,42.6389216,-83.2910468,8067.542702570979,6756.183908195861,7.582,7.482,11,21,18,15,3,4,1,5,0.3793,0.5833,0.75,0.4444,7.082,6.964,21,11,11,17,1,0,1,2,0.6562,0.3929,0.5,0.0,52,14,24.8,16.7,0.0,15.4,22.8,11.6,0.0,9.4,27.8,15.2,0.0,10.2,3.0,1.5,2.25,5.0,3.5999999999999996,4.3
1994-06-24,Brazil,Cameroon,FWC,Palo Alto,United States,True,1994,6,24,1,59.0,46.0,Brasília,Yaoundé,"Brasília, Brazil","Yaoundé, Cameroon","Palo Alto, United States",-15.7939869,-47.8828,3.8689867,11.5213344,37.4443293,-122.1598465,9742.796850380972,13388.060924799918,7.409,7.064,17,16,8,6,2,0,0,1,0.68,0.7273,1.0,0.0,6.991,6.727,10,21,16,13,2,2,2,3,0.3846,0.6176,0.5,0.4,5,43,25.4,15.5,0.2,10.6,26.0,20.2,3.2,10.1,22.4,11.4,0.0,15.7,3.0,4.1,3.55,3.6000000000000014,8.799999999999999,6.2
1994-06-24,Mexico,Republic of Ireland,FWC,Orlando,United States,True,1994,6,24,1,51.0,53.0,Mexico City,Dublin,"Mexico City, Mexico","Dublin, Republic of Ireland","Orlando, United States",19.3207722,-99.1514678,53.3493795,-6.2605593,28.5421218,-81.379045,2073.2980607410545,6538.377088830667,7.109,7.1,17,10,10,12,0,1,1,4,0.6296,0.4545,0.0,0.2,7.109,6.873,9,8,13,13,1,0,0,1,0.4091,0.381,1.0,0.0,10,55,20.7,11.5,11.1,7.1,18.7,12.7,0.6,24.9,32.5,24.3,0.0,19.6,11.8,12.8,12.3,13.8,11.600000000000001,12.700000000000001
1994-06-25,Belgium,Netherlands,FWC,Orlando,United States,True,1994,6,25,1,44.0,59.0,Brussels,Amsterdam,"Brussels, Belgium","Amsterdam, Netherlands","Orlando, United States",50.8467372,4.352493,52.3730796,4.8924534,28.5421218,-81.379045,7303.49833222911,7293.027184125438,7.373,7.164,11,16,20,7,1,0,0,1,0.3548,0.6957,1.0,0.0,7.509,7.309,28,20,8,19,2,6,1,7,0.7778,0.5128,0.6667,0.4615,8,9,23.6,18.7,2.5,16.4,23.6,15.7,1.5,20.4,33.3,25.2,0.0,18.5,9.699999999999996,6.5,8.099999999999998,9.699999999999996,9.5,9.599999999999998
1994-06-26,Bulgaria,Greece,FWC,Chicago,United States,True,1994,6,26,1,44.0,41.0,Sofia,Athens,"Sofia, Bulgaria","Athens, Greece","Chicago, United States",42.6977028,23.3217359,37.9755648,23.7348324,41.8755616,-87.6244212,8351.411282838355,8744.421453188494,6.745,7.055,16,18,8,13,0,0,3,2,0.6667,0.5806,0.0,0.0,6.473,7.127,8,13,19,13,0,0,4,0,0.2963,0.5,0.0,0.5,85,46,26.4,14.3,0.0,8.6,30.2,20.5,0.0,22.9,22.4,19.1,9.6,20.9,4.0,4.800000000000001,4.4,7.800000000000001,1.3999999999999986,4.6
1994-06-26,Switzerland,Colombia,FWC,Palo Alto,United States,True,1994,6,26,2,54.0,51.0,Bern,Bogotá,"Bern, Switzerland","Bogotá, Colombia","Palo Alto, United States",46.9484742,7.4521749,4.6533817,-74.0836331,37.4443293,-122.1598465,9377.589222870984,6080.911710005005,7.255,7.082,10,21,12,11,4,1,1,1,0.4545,0.6562,0.8,0.5,7.155,6.8,15,18,13,11,1,1,2,3,0.5357,0.6207,0.3333,0.25,14,11,22.8,14.4,0.5,8.2,18.2,10.4,0.2,15.8,28.2,11.6,0.0,14.2,5.399999999999999,2.8000000000000007,4.1,10.0,1.1999999999999993,5.6
