,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,month,day
479,1916-07-02,Chile,Uruguay,0.0,4.0,COPA,Buenos Aires,Argentina,True,1916,7,2
481,1916-07-06,Argentina,Chile,6.0,1.0,COPA,Buenos Aires,Argentina,False,1916,7,6
482,1916-07-08,Brazil,Chile,1.0,1.0,COPA,Buenos Aires,Argentina,True,1916,7,8
483,1916-07-10,Argentina,Brazil,1.0,1.0,COPA,Buenos Aires,Argentina,False,1916,7,10
485,1916-07-12,Brazil,Uruguay,1.0,2.0,COPA,Buenos Aires,Argentina,True,1916,7,12
487,1916-07-17,Argentina,Uruguay,0.0,0.0,COPA,Avellaneda,Argentina,False,1916,7,17
515,1917-09-30,Uruguay,Chile,4.0,0.0,COPA,Montevideo,Uruguay,False,1917,9,30
516,1917-10-03,Argentina,Brazil,4.0,2.0,COPA,Montevideo,Uruguay,True,1917,10,3
517,1917-10-06,Argentina,Chile,1.0,0.0,COPA,Montevideo,Uruguay,True,1917,10,6
520,1917-10-07,Uruguay,Brazil,4.0,0.0,COPA,Montevideo,Uruguay,False,1917,10,7
521,1917-10-12,Brazil,Chile,5.0,0.0,COPA,Montevideo,Uruguay,True,1917,10,12
523,1917-10-14,Uruguay,Argentina,1.0,0.0,COPA,Montevideo,Uruguay,False,1917,10,14
548,1919-05-11,Brazil,Chile,6.0,0.0,COPA,Rio de Janeiro,Brazil,False,1919,5,11
551,1919-05-13,Argentina,Uruguay,2.0,3.0,COPA,Rio de Janeiro,Brazil,True,1919,5,13
555,1919-05-17,Chile,Uruguay,0.0,2.0,COPA,Rio de Janeiro,Brazil,True,1919,5,17
556,1919-05-18,Brazil,Argentina,3.0,1.0,COPA,Rio de Janeiro,Brazil,False,1919,5,18
558,1919-05-22,Argentina,Chile,4.0,1.0,COPA,Rio de Janeiro,Brazil,True,1919,5,22
560,1919-05-26,Brazil,Uruguay,2.0,2.0,COPA,Rio de Janeiro,Brazil,False,1919,5,26
561,1919-05-29,Brazil,Uruguay,1.0,0.0,COPA,Rio de Janeiro,Brazil,False,1919,5,29
635,1920-09-11,Chile,Brazil,0.0,1.0,COPA,Viña del Mar,Chile,False,1920,9,11
636,1920-09-12,Uruguay,Argentina,1.0,1.0,COPA,Viña del Mar,Chile,True,1920,9,12
637,1920-09-18,Brazil,Uruguay,0.0,6.0,COPA,Viña del Mar,Chile,True,1920,9,18
639,1920-09-20,Chile,Argentina,1.0,1.0,COPA,Viña del Mar,Chile,False,1920,9,20
640,1920-09-25,Argentina,Brazil,2.0,0.0,COPA,Viña del Mar,Chile,True,1920,9,25
643,1920-10-03,Chile,Uruguay,1.0,2.0,COPA,Viña del Mar,Chile,False,1920,10,3
692,1921-10-02,Argentina,Brazil,1.0,0.0,COPA,Buenos Aires,Argentina,False,1921,10,2
694,1921-10-09,Paraguay,Uruguay,2.0,1.0,COPA,Buenos Aires,Argentina,True,1921,10,9
696,1921-10-12,Brazil,Paraguay,3.0,0.0,COPA,Buenos Aires,Argentina,True,1921,10,12
697,1921-10-16,Argentina,Paraguay,3.0,0.0,COPA,Buenos Aires,Argentina,False,1921,10,16
699,1921-10-23,Brazil,Uruguay,1.0,2.0,COPA,Buenos Aires,Argentina,True,1921,10,23
701,1921-10-30,Argentina,Uruguay,1.0,0.0,COPA,Buenos Aires,Argentina,False,1921,10,30
754,1922-09-17,Brazil,Chile,1.0,1.0,COPA,Rio de Janeiro,Brazil,False,1922,9,17
755,1922-09-23,Chile,Uruguay,0.0,2.0,COPA,Rio de Janeiro,Brazil,True,1922,9,23
757,1922-09-24,Brazil,Paraguay,1.0,1.0,COPA,Rio de Janeiro,Brazil,False,1922,9,24
760,1922-09-28,Argentina,Chile,4.0,0.0,COPA,Rio de Janeiro,Brazil,True,1922,9,28
761,1922-10-01,Brazil,Uruguay,0.0,0.0,COPA,Rio de Janeiro,Brazil,False,1922,10,1
764,1922-10-05,Chile,Paraguay,0.0,3.0,COPA,Rio de Janeiro,Brazil,True,1922,10,5
765,1922-10-08,Argentina,Uruguay,0.0,1.0,COPA,Rio de Janeiro,Brazil,True,1922,10,8
766,1922-10-12,Paraguay,Uruguay,1.0,0.0,COPA,Rio de Janeiro,Brazil,True,1922,10,12
767,1922-10-15,Brazil,Argentina,2.0,0.0,COPA,Rio de Janeiro,Brazil,False,1922,10,15
768,1922-10-18,Argentina,Paraguay,2.0,0.0,COPA,Rio de Janeiro,Brazil,True,1922,10,18
773,1922-11-06,Brazil,Paraguay,3.0,0.0,COPA,Rio de Janeiro,Brazil,False,1922,11,6
857,1923-10-29,Argentina,Paraguay,4.0,3.0,COPA,Montevideo,Uruguay,True,1923,10,29
862,1923-11-04,Uruguay,Paraguay,2.0,0.0,COPA,Montevideo,Uruguay,False,1923,11,4
863,1923-11-11,Brazil,Paraguay,0.0,1.0,COPA,Montevideo,Uruguay,True,1923,11,11
864,1923-11-18,Argentina,Brazil,2.0,1.0,COPA,Montevideo,Uruguay,True,1923,11,18
867,1923-11-25,Uruguay,Brazil,2.0,1.0,COPA,Montevideo,Uruguay,False,1923,11,25
870,1923-12-02,Uruguay,Argentina,2.0,0.0,COPA,Montevideo,Uruguay,False,1923,12,2
969,1924-10-12,Argentina,Paraguay,0.0,0.0,COPA,Montevideo,Uruguay,True,1924,10,12
971,1924-10-19,Uruguay,Chile,5.0,0.0,COPA,Montevideo,Uruguay,False,1924,10,19
973,1924-10-25,Argentina,Chile,2.0,0.0,COPA,Montevideo,Uruguay,True,1924,10,25
974,1924-10-26,Uruguay,Paraguay,3.0,1.0,COPA,Montevideo,Uruguay,False,1924,10,26
975,1924-11-01,Chile,Paraguay,1.0,3.0,COPA,Montevideo,Uruguay,True,1924,11,1
977,1924-11-02,Uruguay,Argentina,0.0,0.0,COPA,Montevideo,Uruguay,False,1924,11,2
1064,1925-11-29,Argentina,Paraguay,2.0,0.0,COPA,Buenos Aires,Argentina,False,1925,11,29
1065,1925-12-06,Brazil,Paraguay,5.0,2.0,COPA,Buenos Aires,Argentina,True,1925,12,6
1067,1925-12-13,Argentina,Brazil,4.0,1.0,COPA,Buenos Aires,Argentina,False,1925,12,13
1070,1925-12-17,Brazil,Paraguay,3.0,1.0,COPA,Buenos Aires,Argentina,True,1925,12,17
1071,1925-12-20,Argentina,Paraguay,3.0,1.0,COPA,Buenos Aires,Argentina,False,1925,12,20
1072,1925-12-25,Argentina,Brazil,2.0,2.0,COPA,Buenos Aires,Argentina,False,1925,12,25
1140,1926-10-12,Chile,Bolivia,7.0,1.0,COPA,Santiago,Chile,False,1926,10,12
1141,1926-10-16,Argentina,Bolivia,5.0,0.0,COPA,Santiago,Chile,True,1926,10,16
1142,1926-10-17,Chile,Uruguay,1.0,3.0,COPA,Santiago,Chile,False,1926,10,17
1143,1926-10-20,Argentina,Paraguay,8.0,0.0,COPA,Santiago,Chile,True,1926,10,20
1145,1926-10-23,Bolivia,Paraguay,1.0,6.0,COPA,Santiago,Chile,True,1926,10,23
1146,1926-10-24,Argentina,Uruguay,0.0,2.0,COPA,Santiago,Chile,True,1926,10,24
1147,1926-10-28,Bolivia,Uruguay,0.0,6.0,COPA,Santiago,Chile,True,1926,10,28
1150,1926-10-31,Chile,Argentina,1.0,1.0,COPA,Santiago,Chile,False,1926,10,31
1152,1926-11-01,Paraguay,Uruguay,1.0,6.0,COPA,Santiago,Chile,True,1926,11,1
1153,1926-11-03,Chile,Paraguay,5.0,1.0,COPA,Santiago,Chile,False,1926,11,3
1228,1927-10-30,Argentina,Bolivia,7.0,1.0,COPA,Lima,Peru,True,1927,10,30
1230,1927-11-01,Peru,Uruguay,0.0,4.0,COPA,Lima,Peru,False,1927,11,1
1231,1927-11-06,Bolivia,Uruguay,0.0,9.0,COPA,Lima,Peru,True,1927,11,6
1237,1927-11-13,Peru,Bolivia,3.0,2.0,COPA,Lima,Peru,False,1927,11,13
1238,1927-11-20,Argentina,Uruguay,3.0,2.0,COPA,Lima,Peru,True,1927,11,20
1240,1927-11-27,Peru,Argentina,1.0,5.0,COPA,Lima,Peru,False,1927,11,27
1413,1929-11-01,Paraguay,Uruguay,3.0,0.0,COPA,Buenos Aires,Argentina,True,1929,11,1
1415,1929-11-03,Argentina,Peru,3.0,0.0,COPA,Buenos Aires,Argentina,False,1929,11,3
1418,1929-11-10,Argentina,Paraguay,4.0,1.0,COPA,Buenos Aires,Argentina,False,1929,11,10
1419,1929-11-11,Peru,Uruguay,1.0,4.0,COPA,Buenos Aires,Argentina,True,1929,11,11
1422,1929-11-16,Paraguay,Peru,5.0,0.0,COPA,Avellaneda,Argentina,True,1929,11,16
1423,1929-11-17,Argentina,Uruguay,2.0,0.0,COPA,Buenos Aires,Argentina,False,1929,11,17
1490,1930-07-13,Belgium,United States,0.0,3.0,FWC,Montevideo,Uruguay,True,1930,7,13
1491,1930-07-13,France,Mexico,4.0,1.0,FWC,Montevideo,Uruguay,True,1930,7,13
1492,1930-07-14,Brazil,Yugoslavia,1.0,2.0,FWC,Montevideo,Uruguay,True,1930,7,14
1493,1930-07-14,Peru,Romania,1.0,3.0,FWC,Montevideo,Uruguay,True,1930,7,14
